Designation	Obsid	RA	DEC	S/N(g)	Subclass	Source
J044715.48+573746.4	377911018	71.8143775	57.62929417	289.5	A1	Hümmerich et al. (2020)
J050537.89+554553.8	377913047	76.4082525	55.76472306	203.81	A2	Hümmerich et al. (2020)
J044335.13+564315.7	377915100	70.8963867	56.7210428	75.14	A5	Shang et al. (2022)
J044319.32+565249.8	377915165	70.8305306	56.8805128	163.58	A2	Shang et al. (2022)
J061328.54+405514.0	378001180	93.3689219	40.9205722	306.24	A2	Hümmerich et al. (2020)
J060418.34+413658.0	378002129	91.07591917	41.61612028	243.99	A2	Hümmerich et al. (2020)
J060347.88+412532.7	378002133	90.9495258	41.4257728	173.2	A2	Hümmerich et al. (2020)
J060851.09+424158.2	378003011	92.21171333	42.69951139	443.38	A2	Hümmerich et al. (2020)
J060424.73+431623.4	378003057	91.1030439	43.2731883	87.91	A5	Shang et al. (2022)
J060031.27+425109.8	378010107	90.1303294	42.8527469	142.52	A7	Yang et al. (2024)
J060055.14+421659.8	378010198	90.2297881	42.2833019	96.45	A3	Shang et al. (2022)
J062226.08+443003.8	378012208	95.6099475	44.50091306	383.79	A2	Hümmerich et al. (2020)
J060028.44+435833.2	378014122	90.1185019	43.9759103	111.89	F0	Shang et al. (2022)
J061256.15+443328.9	378015038	93.2339867	44.5580511	180.35	A1	Shi et al. (2023)
J065649.21+541717.5	378103004	104.2050725	54.2882069	305.18	A1	Hümmerich et al. (2020)
J065544.31+563700.9	378116118	103.9355453	56.61764833	194.65	A1	Shi et al. (2023)
J065340.20+562055.0	378116157	103.4175058	56.3486236	158.88	A1	Hümmerich et al. (2020)
J042003.27+484530.9	379002125	65.0136481	48.7586097	51.94	A1	Shang et al. (2022)
J041215.45+493154.8	379002175	63.0644044	49.5319142	59.79	A1	Shi et al. (2023)
J041550.17+494027.7	379002178	63.9590758	49.6743867	151.14	A5	Hümmerich et al. (2020)
J041840.49+501253.3	379003026	64.6687478	50.2148308	323.11	A1	Shang et al. (2022)
J041659.03+505704.7	379003066	64.2459822	50.9513272	303.93	A2	Shang et al. (2022)
J041641.15+511253.2	379003121	64.1714794	51.2147844	229.81	A2	Hümmerich et al. (2020)
J043240.10+491414.4	379007058	68.1671069	49.2373514	59.54	A1	Shi et al. (2023)
J043045.19+484742.5	379007228	67.6882961	48.7951625	224.76	A2	Hümmerich et al. (2020)
J042920.21+501901.0	379008007	67.3342428	50.3169697	125.65	A1	Hümmerich et al. (2020)
J042931.26+503955.0	379008033	67.3802581	50.6652794	77.49	A2	Yang et al. (2024)
J042829.12+511637.5	379009211	67.12004722	51.27710667	397.35	A1	Yang et al. (2024)
J041222.48+504917.9	379010017	63.0937081	50.8216564	101.55	A3	Hümmerich et al. (2020)
J041032.69+504504.8	379010133	62.6362258	50.7513389	92.82	A5	Yang et al. (2024)
J041444.54+500123.7	379010166	63.6855947	50.0232617	60.27	A2	Yang et al. (2024)
J043037.38+524319.4	379012054	67.6557678	52.7220575	73.76	A1	Shi et al. (2023)
J041307.46+511535.7	379014152	63.2810903	51.2599411	63.53	A2	Yang et al. (2024)
J041455.62+512503.1	379014171	63.7317694	51.4175319	248.71	A2	Shang et al. (2022)
J041108.92+521010.7	379016008	62.7871803	52.1696647	164.65	A1	Shang et al. (2022)
J041813.52+525506.4	379016228	64.55578694	52.91844694	266.38	A2	Hümmerich et al. (2020)
J060853.81+465924.7	379101060	92.2242203	46.9902144	130.54	A6	Hümmerich et al. (2020)
J061605.70+465915.2	379107005	94.0237697	46.9875669	81.25	A5	Yang et al. (2024)
J062012.98+485853.4	379109136	95.0540856	48.9815019	115.75	A7	Shang et al. (2022)
J061909.30+503741.3	379112049	94.78812139	50.62814472	260.64	A3	Hümmerich et al. (2020)
J060132.86+490758.2	379114167	90.38606306	49.13353306	642.72	A1	Yang et al. (2024)
J060028.03+485251.0	379114190	90.11538389	48.88085333	484.07	A1	Gaia Collaboration et al. (2016, 2023)
J073953.72+080221.4	379206172	114.973287	8.039298	437.33	A1	Hümmerich et al. (2020)
J073421.29+082101.2	379208234	113.58809	8.350336	560.36	A2	Shang et al. (2022)
J072701.90+091648.1	379215062	111.7579369	9.2800517	72.61	A5	Shang et al. (2022)
J035700.33+091902.2	379805176	59.2514117	9.3172964	86.97	A5	Lu et al. (2025)
J060821.41+502149.8	380002135	92.08789444	50.36384917	675.66	A2	Hümmerich et al. (2020)
J061635.65+512927.0	380005124	94.1485717	51.4908528	96.91	A1	Shi et al. (2023)
J061929.12+533024.5	380009082	94.8713592	53.5068278	320.91	A7	Shang et al. (2022)
J062809.52+522009.0	380013214	97.0396919	52.335855	69.45	F0	Yang et al. (2024)
J225835.92+084832.2	380405127	344.6496699	8.808957	50.27	A2	Yang et al. (2024)
J053255.47+345959.1	380503027	83.231148	34.999767	82.67	A2	Shi et al. (2023)
J053343.13+360821.5	380503225	83.429709	36.139324	129.11	A2	Hümmerich et al. (2020)
J053804.23+370400.8	380515037	84.517638	37.066907	56.81	A2	Shi et al. (2023)
J053058.14+355915.9	380603114	82.742266	35.987754	89.06	A1	Yang et al. (2024)
J053040.08+344620.4	380610161	82.667025	34.772337	53.48	A5	Bauer-Fasching et al. (2024)
J053943.72+371243.0	380611064	84.93218	37.211967	58.92	A1	Bernhard et al. (2021)
J020244.76+535759.5	380705171	30.686504	53.966535	81.95	A2	Yang et al. (2024)
J015816.67+533249.0	380705228	29.569495	53.546957	83	A2	Yang et al. (2024)
J020912.58+555947.9	380709084	32.302448	55.996653	78.76	A1	Shang et al. (2022)
J014857.71+540540.5	380710084	27.240495	54.09461	55.33	A6	Qin et al. (2019)
J020228.03+565629.3	380711144	30.616808	56.94149	102.77	A1	Hümmerich et al. (2020)
J020321.48+561423.4	380711241	30.839528	56.239855	55.3	A1	Shang et al. (2022)
J021139.72+562420.8	380712032	32.915509	56.405791	101.02	A1	Shang et al. (2022)
J020604.04+555543.9	380715135	31.51685	55.928869	108.66	A1	Shi et al. (2023)
J015559.12+563558.0	380716065	28.996352	56.599461	138.82	A2	Hümmerich et al. (2020)
J020221.80+523434.5	380801049	30.590846	52.576276	90.9	A1	Shi et al. (2023)
J015729.58+542137.2	380803031	29.374026	54.360138	495.79	A1	Hümmerich et al. (2020)
J015849.28+551726.5	380803131	29.704493	55.29085	518.2	A1	Shang et al. (2022)
J015545.33+543748.2	380803177	28.938886	54.630058	152.72	A5	Hümmerich et al. (2020)
J015654.63+543533.0	380803191	29.227646	54.592524	177.81	A5	Hümmerich et al. (2020)
J015458.39+541849.0	380803234	28.743302	54.313632	367.91	A1	Hümmerich et al. (2020)
J020101.80+550114.7	380804010	30.257323	55.020062	395.4	A1	Yang et al. (2024)
J020528.91+542426.4	380804122	31.370489	54.407338	182.49	A1	Shi et al. (2023)
J020024.73+544319.0	380804173	30.103057	54.721955	252.45	A2	Hümmerich et al. (2020)
J020644.38+550225.0	380804223	31.684943	55.0403	107.03	A2	Shang et al. (2022)
J020609.05+544341.1	380804231	31.537177	54.727893	532.65	A2	Yang et al. (2024)
J020338.02+533204.2	380805143	30.908421	53.534514	427.47	A1	Hümmerich et al. (2020)
J015628.29+534409.9	380805193	29.117912	53.736093	335.33	A1	Hümmerich et al. (2020)
J021405.04+543546.7	380806047	33.521032	54.596309	76.84	F0	Shang et al. (2022)
J021605.21+531158.1	380807138	34.021736	53.199497	204.77	A1	Yang et al. (2024)
J021227.91+524841.1	380807209	33.11631	52.811433	169.05	A5	Shang et al. (2022)
J021212.50+541340.8	380808064	33.0521139	54.2280117	101.51	A5	Shang et al. (2022)
J020842.44+544442.1	380809002	32.176868	54.745029	121.21	A2	Hümmerich et al. (2020)
J021008.79+554408.6	380809063	32.5366269	55.7357369	86.38	A5	Yang et al. (2024)
J020623.26+560627.5	380809085	31.596954	56.10766	118.59	A1	Shi et al. (2023)
J021027.46+551700.6	380809183	32.614438	55.283501	72.8	F0	Hümmerich et al. (2024)
J014905.86+543820.9	380810009	27.2744575	54.6391611	187.25	A5	Hümmerich et al. (2020)
J015059.58+540259.1	380810056	27.74908444	54.05059806	691.51	A1	Renson & Manfroid (2009)
J014717.37+542613.6	380810146	26.821617	54.436816	448.1	A1	Shi et al. (2023)
J014940.99+534134.2	380810194	27.420817	53.692846	154.55	A2	Hümmerich et al. (2020)
J015350.50+541043.4	380810223	28.460447	54.178731	248.61	A5	Shang et al. (2022)
J020429.57+565514.5	380811221	31.1232489	56.9207061	76.87	A1	Shi et al. (2023)
J020425.19+561142.4	380811232	31.1049654	56.1951213	305.36	A1	Hümmerich et al. (2020)
J021039.69+565719.9	380812243	32.6653961	56.9555311	98.63	A1	Shi et al. (2023)
J021942.71+544804.9	380813064	34.927964	54.801377	227.02	F0	Shang et al. (2022)
J021535.55+544904.3	380813077	33.89815	54.817865	101.64	A1	Shi et al. (2023)
J021429.02+553451.3	380813165	33.61970333	55.58141556	265.67	A2	Hümmerich et al. (2020)
J021831.11+552711.0	380813179	34.629655	55.45307	68.2	A2	Shi et al. (2023)
J014634.84+545846.6	380814228	26.645951	54.979707	311.67	A1	Shi et al. (2023)
